Date,Open,High,Low,Close,Volume,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2010-02-07,4819.64990234375,4827.0,4692.35009765625,4718.64990234375,0.0,0.0,0.0,0.16755731825125592,0.015771421883856832,4808.992885044643,90.8979608587868,-1.8786258341501878,5038.978336588541,191.9211139499221,-6.357011537812212,,,,,,,4718.64990234375,4882.0498046875,5036.0,5244.75,24.15927479474385,-113.0854780126856,-96.52373303984552,-16.561744972840074,5229.841912122863,4934.737475585937,4639.633039049012,0.11960289194589237,0.13387949063367777,2010,2,1,6,5,INR/point
2010-02-08,4755.35009765625,4799.0498046875,4675.39990234375,4760.39990234375,0.0,0.008847869806840825,0.008808956769992533,0.1710717431996095,0.016347174164076446,4789.092843191965,82.59945106888294,-0.5991310210033561,5022.833333333333,194.37094274053024,-5.224808660243217,,,,,,,4718.64990234375,4899.7001953125,5007.89990234375,5244.75,30.28517420830319,-111.45577924472582,-99.5101422808216,-11.94563696390422,5182.380729825223,4911.4749755859375,4640.569221346652,0.11031543704728607,0.22116673256602912,2010,2,1,0,6,INR/point
2010-02-09,4760.5498046875,4810.39990234375,4739.35009765625,4792.64990234375,0.0,0.006774640925465425,0.006751796164294356,0.17327452640739444,0.016084824381882325,4783.742815290178,80.69150519369657,0.186194939767707,5007.763330078125,194.09792170428543,-4.295598924221113,,,,,,,4760.39990234375,4830.10009765625,5007.89990234375,5244.75,33.69195118594709,-106.33614882259462,-100.87534358917621,-5.460805233418412,5122.753459873173,4890.0224609375,4657.291462001827,0.09518606541985258,0.29080449308569595,2010,2,1,1,6,INR/point
2010-02-10,4793.0,4826.85009765625,4748.10009765625,4757.2001953125,0.0,-0.0073966819512341075,-0.007424173049006029,0.17334713073012567,0.012849253277305097,4758.792829241072,47.39540241593028,-0.0334671835005171,4991.356673177083,193.770606718624,-4.691239139909808,,,,,,,4792.64990234375,4931.85009765625,4853.10009765625,5249.39990234375,41.1302363096566,-103.94113125991134,-101.48850112332325,-2.4526301365880983,5092.059538537979,4873.174975585937,4654.290412633895,0.08983242508164767,0.23507775352096735,2010,2,1,2,6,INR/point
2010-02-11,4757.25,4843.7998046875,4757.25,4826.85009765625,0.0,0.014640944144494794,0.014534800298261869,0.18034861032342608,0.013388245750193786,4756.149972098215,41.96959858537151,1.486499079566353,4978.5716796875,191.4592950531276,-3.0474921682914036,,,,,,,4757.2001953125,4845.35009765625,4867.25,5210.39990234375,46.61131557412969,-95.32406111631553,-100.25561312192171,4.931552005606179,5068.436485642566,4862.71748046875,4656.998475294934,0.0846107165386814,0.41282433340904034,2010,2,1,3,6,INR/point
2010-02-12,4757.25,4843.7998046875,4757.25,4826.85009765625,0.0,0.0,0.0,0.1792963116950539,0.0072864055737782395,4771.607142857143,45.62248506263294,1.1577431491149228,4965.001676432292,187.11236627389053,-2.7825081999834,,,,,,,4826.85009765625,4718.64990234375,4882.0498046875,5233.9501953125,45.25204892385823,-87.4864812475007,-97.70178674703752,10.21530549953681,5041.493298135041,4852.259985351562,4663.026672568083,0.07799801055786522,0.43286095528851465,2010,2,1,4,6,INR/point
2010-02-13,4757.25,4843.7998046875,4757.25,4826.85009765625,0.0,0.0,0.0,0.17804366236836752,0.0072864055737782395,4787.064313616072,42.940487298875404,0.8311102887632796,4950.566682942708,180.1522263136412,-2.499038861808014,,,,,,,4826.85009765625,4718.64990234375,4882.0498046875,5259.89990234375,45.25204892385823,-80.34893028193346,-94.2312154540167,13.882285172083243,5010.258017393987,4841.802490234375,4673.346963074763,0.06958380788946948,0.45561916895604976,2010,2,1,5,6,INR/point
2010-02-14,4757.25,4843.7998046875,4757.25,4826.85009765625,0.0,0.0,0.0,0.1781895088339906,0.0072864055737782395,4802.521484375,32.38626443326469,0.5065799988694091,4936.388346354167,172.15491976354096,-2.2189957720570717,,,,,,,4826.85009765625,4718.64990234375,4882.0498046875,5252.2001953125,45.25204892385823,-73.84117462193717,-90.1532072876008,16.312032665663622,4981.985440366076,4832.75,4683.514559633924,0.06176004981266386,0.4802329046982482,2010,2,1,6,6,INR/point
2010-02-15,4827.89990234375,4845.60009765625,4783.89990234375,4801.9501953125,0.0,-0.005158623499793458,-0.005171975135166793,0.1781249938063345,0.00742024672763186,4808.457240513393,26.68547368727187,-0.13532500915404558,4921.380013020834,163.0592409794074,-2.426754637771318,,,,,,,4826.85009765625,4760.39990234375,4899.7001953125,5252.2001953125,41.69569004853362,-69.88732778614849,-86.10003138731034,16.21270360116185,4947.216421986231,4822.4525146484375,4697.688607310644,0.051742928295848076,0.4178355352367807,2010,2,1,0,7,INR/point
2010-02-16,4801.7998046875,4880.0,4791.35009765625,4855.75,0.0,0.011203740667701467,0.011141443639869172,0.1826247687415292,0.00812376855288666,4817.471540178572,30.79669085620976,0.7945757333941521,4908.165006510417,150.93814440772226,-1.0679145147094913,,,,,,,4801.9501953125,4792.64990234375,4830.10009765625,5252.2001953125,52.239190241016345,-61.70142544359442,-81.22031019856716,19.518884754972746,4947.491502635346,4822.585009765625,4697.678516895904,0.05180063912477974,0.632759272443643,2010,2,1,1,7,INR/point
