Date,Close,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2014-09-17,27921.614253245996,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2014,9,3,2,38,INR/BTC
2014-09-18,25851.79207024048,-0.07412974637613912,-0.07702116903000415,,,,,,,,,,,,,,,27921.614253245996,,,,,-165.11402029673627,-33.02280405934726,-132.091216237389,,,,,,2014,9,3,3,38,INR/BTC
2014-09-19,23960.168090337535,-0.07317187043603468,-0.07598713560703,,,,,,,,,,,,,,,25851.79207024048,,,,,-443.4939944782127,-115.11704214312034,-328.37695233509237,,,,,,2014,9,3,4,38,INR/BTC
2014-09-20,24816.382694681408,0.03573491642945359,0.03511123892407983,,,,,,,,,,,,,,,23960.168090337535,,,,,-588.2418805191373,-209.74200981832377,-378.4998707008136,,,,,,2014,9,3,5,38,INR/BTC
2014-09-21,24204.44681649946,-0.02465854454739269,-0.024967658573127677,,,,,,,,,,,,,,,24816.382694681408,,,,,-743.7601304572345,-316.5456339461059,-427.2144965111286,,,,,,2014,9,3,6,38,INR/BTC
2014-09-22,24472.156403997564,0.011060347279476357,0.01099962893889113,,,,,,,,,,,,,,,24204.44681649946,,,,,-835.773263680032,-420.3911598928911,-415.38210378714086,,,,,,2014,9,3,0,39,INR/BTC
2014-09-23,26583.25009155273,0.0862651273024031,0.08274532367071803,,,25401.40148865074,1452.9675258611605,4.652690535323562,,,,,,,,,,24472.156403997564,,,,,-729.9325096344619,-482.2994298412053,-247.63307979325657,,,,,,2014,9,3,1,39,INR/BTC
2014-09-24,25807.03988744889,-0.02919922136798825,-0.02963400307808433,,0.05843582219715363,25099.31943639401,986.6595963927822,2.8196798437039905,,,,,,,,,,26583.25009155273,27921.614253245996,,,,-700.6104250584976,-525.9616288846638,-174.64879617383383,,,,,,2014,9,3,2,39,INR/BTC
2014-09-25,25027.815816980903,-0.030194244433549233,-0.03065947953116585,,0.05241505903990668,24981.608543071216,929.4164546439143,0.1849651667946872,,,,,,,,,,25807.03988744889,25851.79207024048,,,,-731.8134421937648,-567.131991546484,-164.68145064728083,,,,,,2014,9,3,3,39,INR/BTC
2014-09-26,24868.09317820356,-0.006381804946357983,-0.006402255718534804,,0.04280667959509891,25111.312127052075,820.0278124018181,-0.9685632818306614,,,,,,,,,,25027.815816980903,23960.168090337535,,,,-760.6619032455892,-605.837973886305,-154.8239293592842,,,,,,2014,9,3,4,39,INR/BTC
