Date,Close,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2017-11-19,23109.50984400697,0.01948720650012503,0.019299762155328023,,0.030372853646216846,21948.131865596963,794.9387195459976,5.291466196402952,,,,,,,,,,22667.77816991089,20004.16697610496,,,,405.5171067534502,151.28860085957712,254.2285058938731,,,,,,2017,11,4,6,46,INR/ETH
2017-11-20,23802.61091539916,0.029992028220015676,0.029551062619375814,,0.0302842023785717,22400.31768490171,824.7323157808569,6.260148852454109,,,,,,,,,,23109.50984400697,20637.31018026592,,,,548.2455516443952,230.67999101654073,317.56556062785444,,,,,,2017,11,4,0,47,INR/ETH
2017-11-21,23435.07563842926,-0.015440964786435307,-0.015561418034879605,,0.023489480308888106,22591.895161262346,894.5297414810022,3.7322255222425627,,,,,,,,,,23802.61091539916,22094.033303904813,,,,624.5029658417625,309.4445859815851,315.0583798601774,,,,,,2017,11,4,1,47,INR/ETH
2017-11-22,24651.518559447723,0.05190693385361711,0.05060464448356303,,0.0261538875286287,22998.39581070907,1100.6695438097893,7.187991555345291,,,,,,,,,,23435.07563842926,21806.014013320677,,,,774.1701419939709,402.38969718406224,371.78044480990866,,,,,,2017,11,4,2,47,INR/ETH
2017-11-23,26566.44947850774,0.07768003883582741,0.07481061844468605,,0.03162366005775026,23701.193693332407,1566.0851495329568,12.089077969019696,,,,,,,,,,24651.518559447723,21646.86430014437,20828.740919223757,,76.03098993841553,1035.366320363093,528.9850218198684,506.3812985432247,,,,,,2017,11,4,3,47,INR/ETH
2017-11-24,30669.467703924514,0.15444360484588326,0.14361850049967137,,0.05366955961587206,24986.058615660895,2816.9915206829546,22.74632096116729,,,,,,,,,,26566.44947850774,21675.41324762511,19441.868995337747,,90.86607501795484,1555.5144516500586,734.2909077859065,821.2235438641521,,,,,,2017,11,4,4,47,INR/ETH
2017-11-25,30111.823961961083,-0.018182374319202,-0.01834970510458122,,0.05997530960222372,26049.49372881092,3177.9299826202414,15.594660976682231,,,,,,,,,,30669.467703924514,22667.77816991089,20444.195921989623,,86.36529576341607,1900.8268548476117,967.5980971982476,933.2287576493641,,,,,,2017,11,4,5,47,INR/ETH
2017-11-26,30438.20731483656,0.010839042938341592,0.010780721565864352,,0.06062214455682772,27096.450510358005,3254.225612617314,12.332821242402655,,,,,,,,,,30111.823961961083,23109.50984400697,20004.16697610496,,89.58664941240117,2175.745194848889,1209.227516728376,966.5176781205128,,,,,,2017,11,4,6,47,INR/ETH
2017-11-27,31004.51330455625,0.018605103246131627,0.01843414551485049,,0.06113630702113739,28125.29370880902,3176.8394478362898,10.237118323302852,,,,,,,,,,30438.20731483656,23802.61091539916,20637.31018026592,,89.53356790702436,2411.5176462252675,1449.6855426277543,961.8321035975132,,,,,,2017,11,4,0,48,INR/ETH
2017-11-28,30470.92018892057,-0.01721017551200421,-0.0173599919825297,,0.06140666296809848,29130.414358879207,2482.8007925215466,4.601739657825238,,,,,,,,,,31004.51330455625,23435.07563842926,22094.033303904813,,84.36313697430307,2526.192137124988,1664.9868615272012,861.205275597787,32390.0601289681,24275.324146890885,16160.58816481367,0.6685584038321917,0.8817496992947668,2017,11,4,1,48,INR/ETH
2017-11-29,27562.40899294801,-0.09545203026162996,-0.10031994101645159,,0.07921206418801549,29546.25584937925,1740.3765340173118,-6.714376490017831,,,,,,,,,,30470.92018892057,24651.518559447723,21806.014013320677,,69.43511885420803,2355.230322201034,1803.035553661968,552.1947685390662,32683.28660962639,24612.0075505771,16540.728491527807,0.6558814060545856,0.6827716165421341,2017,11,4,2,48,INR/ETH
